Score,Do you know about Internet (Cyber) Crime?,Cyber Crime (Internet Crime) is ,Cyber Crime also leads to,What do you think about the most probable reason of cyber attack?,How many hours you use Smartphone in a day?,Your Age Group,Studying or Working or Not Working,Have you attended any seminar or webinar or workshop on Cyber Crime and Security Awareness?,Are you aware about Cyber Crime Safety Precautions tips?,Do you know where to file an Internet (Cyber) Crime Complaint?,Have you ever been victim of Cyber Crime?,Any type of Cyber Crime happened with you?,Did you loose any money?,Did you file complaint?,Why did you not file the complaint?,Where did you file the complaint?,Was your complaint resolved?,What is the status of Complaint,What mistakes made by the person as shown in the poster?,What is the Learning from Pencil Packaging Job Scam,What wrong Mohan did?,Does ever Bank call you for such detail ?,How will you define social media cloning?,What is the learning from this story,"You receive a friend request on Facebook on the name of your school  female friend and a beautiful smart profile picture, what will you do?","In the above video, what mistake the person did? ",What happens in Honey Trapped Video Call?,What safety precautions people should take to prevent honey trapped?,What mistake Harshita Did?,"You have decided to sell your old laptop on OLX. You add the item on OLX and soon one buyer shown an interest to buy your laptop and he also confirms the deal. He ask you to click on the link to receive the payment, what will you do? ","You are travelling on a holiday trip and suddenly you come to know that a fraudulent transaction happened in your account, what will you do? ","In the above video, what mistake he did","There is a power cut at home and suddenly you receive a call that says your power has been cut due to non payment of electricity bill and he ask to click on the link and pay the bill, what will you do?","You have received an audio message with some documents and voice notes that you have won the 35 Lakhs Rs of lottery from Kaun Banega Crorepati (KBC), what will you do?",How to take precautions when you receive such kind of lottery emails or disease treatment help or WhatsApp message?,"You receive a message on WhatsApp that a new startup company is offering you a new launched mobile phone at huge discount, Limited Stock, buy it before it stock out, what will you do?",What necessary precautions we should take while shopping online?,"Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Learning]","Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Usefulness ]","Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Presentation of Training Questions (Clear & Organized)]","Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Relevance of Information Provided in the Cyber Training]",Has this cyber training program helped you to enhance your knowledge on Cyber Crime Awareness and Safety Precautions?,How likely will you recommend this cyber training program in your family and friends circle? [Family],How likely will you recommend this cyber training program in your family and friends circle? [Friends],How likely will you recommend this cyber training program in your family and friends circle? [Others],Would you like to participate in the Workshop/Webinar/Seminar on Cyber Crime Awareness?,Would you like to participate in the Cyber Champion Ambassador Program of College/City/State/National Level to create awareness on Cyber Crime and Safety Precautions?,Any valuable suggestion or feedback to improve this training module on Cyber Crime Awareness,Gender,State,How did you come to know about this Cyber Training Program?,"You are getting multiple calls of a person who is abusing or harassing you over the phone, what will you do?","You come to know that someone posted your personal photos on social media and then you receive a call from unknown person (True Caller is displaying the name Criminal Lawyer Advocate), and he says that a complain has been registered against you and you have been asked to pay 5000 Rs to settle down the case, what will you do?",Have you enabled the two factor authentication on your Gmail or other email account?,"Have you enabled the two factor authentication for your Social Media (Facebook/Instagram/Twitter/Linkdein/
WhatsApp/SnapChat) account?",Which of the following option indicates the strong password,"If you are studying or working, write down the name of school or college or university or workplace",How many hours you use Laptop or Computer in a day ?,When do you spend your maximum time on Smartphone?,Your Internet data is always (24*7 even during sleep) ON  or SWITCH ON only when it is required ? ,"If Cyber Crime happened with you, when did it happen?","Have you ever attended ""Online Training on Cyber Crime Awareness"" organized by CollCom before?",Did you loose any money?.1
44,Yes,All of the above,All of the above,All of the above,Not more than 2 hours in day,22-29 Years,UG,No,I don't have any knowledge,No,Yes,Online Customer Helpline Fruad,less than 5000,"No, I did not file the complaint because of lack of knowledge",No idea where  to file the complaint,,,,He made the payment.,3. Always apply for the Job only from the Authetic Website of the Company,c. Clicked on the Link,No,Creating fake account of existing user for abusing and marketing,Both B and C,"C. Will check the other details like biography, friends connected, active time on Facebook before accepting the friend request",a. He accepted the friend request of unknown people,Innocent users are fooled into taking part in explicit video chats,All of the above,D. Only A and B,B. You will refuse to click on the link,D. A & B both,A. He clicked on the link and made payment,You will refuse and first confirm the bill from electricity department,I will ignore the message because this is a fraud msg,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,C. Will first verify the authenticity of the website and startup company,"Do not easily trust Sales Offered on Social Media , must verify the source",Excellent,Excellent,Excellent,Excellent,Yes,Somewhat Likely,Very Likely,Somewhat Likely,Yes,No,,Male,Madhya Pradesh,WhatsApp Group,File a cyber complaint on www.cybercrime.gov.in,Will ignore the call,No,Yes,#Sohan@27!,Jns college Shujalpur .,Not more than 2 hours in day,Just after Wakeup in the morning,I switch ON internet only when it is required,In the Afternoon at Home,No,
96,Yes,All of the above,All of the above,Human Negligence,4-6 Hours in a day,22-29 Years,UG,Yes,I have little knowledge,Yes,Yes,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,I will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Very Good,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,Yes,Male,Madhya Pradesh,Google,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Madhav maha vidyalaya,2 -4 Hours in a day,In the Night before Sleep,"I always keep my Internet ON (24*7 , Even During Sleeping Time)",During Attending Party or any kind of Functions,Yes,
16,Yes,All of the above,All of the above,All of the above,2 -4 Hours in a day,16-21 Years,School (10 or 11 or 12th Standard),No,I don't have any knowledge,Yes,No,Online Romance Fraud,less than 5000,"Yes, I filed the complaint.",,Local Police Station,No,It was resolved and criminal was arrested but deducted money was not returned,He  clicked on the link directly without verifying the authenticity of the message.,1. Pay the Job Processing fee when asked from Recruiter,a. He verified the caller,Yes,Duplicate the person’s social media profile,B. Make your profile picture and others information visible to your friends only,"A. In the profile picture, Girl is very beautiful, will accept the friend request directly",b. He blindly trust on the person and paid money,Innocent users are fooled into taking part in explicit video chats,Enable two factor authentications to login the social media account,A. She clicked on the link to receive the payment,B. You will refuse to click on the link,B. You will immediately call 1930 cyber crime help line number to file complaint,C. Both A and B,You will click on the link and make the payment,"Wow! that's a good news, you will celebrate and distribute sweets to everyone",Asked for more further details and verify from the authentic source,A. Will immediately buy the Smart Phone,All of the Above!,Very Good,Poor,Poor,Poor,No,Somewhat Likely,Not Likely,Not Likely,Maybe,Maybe,,Male,Madhya Pradesh,WhatsApp Group,Block the person,Will follow the instructions of Criminal Layer Advocate,No,No,08-01-1992,College ,Not more than 2 hours in day,Just after Wakeup in the morning,I switch ON internet only when it is required,"During Travelling, ",Yes,
88,Yes,All of the above,All of the above,All of the above,2 -4 Hours in a day,22-29 Years,UG,No,I don't have any knowledge,No,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,Both A & B,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,Getting Huge information about cyber crime,Female,Madhya Pradesh,Any Other Source,All of the Above,Will ignore the call,Yes,Yes,#Sohan@27!,Madhav science college ujjain m.p.,I do not have/use Laptop or Desktop Computer,"Can't say, Smartphone usage  depends upon my requirements","I always keep my Internet ON (24*7 , Even During Sleeping Time)",Not Applicable,No,
88,Yes,All of the above,All of the above,Human Negligence,Not more than 2 hours in day,22-29 Years,PG,Yes,I have good knowledge,Yes,Yes,Fraud Call,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Duplicate the person’s social media profile,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,A. He clicked on the link and made payment,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,,Female,Uttar Pradesh,WhatsApp Group,File a cyber complaint on www.cybercrime.gov.in,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",No,No,#Sohan@27!,University of Lucknow ,Not more than 2 hours in day,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,In the Afternoon at Home,No,
96,Yes,All of the above,All of the above,All of the above,Not more than 2 hours in day,30-36 Years,MPhil/PhD,Yes,I have good knowledge,No,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,_,Female,Madhya Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Govt. P.G. College Neemuch ,Not more than 2 hours in day,In the Night before Sleep,"I always keep my Internet ON (24*7 , Even During Sleeping Time)",Not Applicable,No,
96,Yes,All of the above,All of the above,Human Negligence,2 -4 Hours in a day,22-29 Years,PG,No,I have good knowledge,Yes,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,He  clicked on the link directly without verifying the authenticity of the message.,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Very Good,Very Good,Very Good,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,Nothing,Female,Madhya Pradesh,College/School Notification,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,"Bhagat Singh Govt.P.G., collage, jaora",I do not have/use Laptop or Desktop Computer,In the Night before Sleep,"I always keep my Internet ON (24*7 , Even During Sleeping Time)",Not Applicable,No,
88,Yes,All of the above,All of the above,Human Negligence,2 -4 Hours in a day,22-29 Years,Studying (Competitive Exam Preparation),Yes,I have little knowledge,Yes,No,"Fake Govt Scheme Fraud, Not happened any crime",I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,Yes,Option A and B,Both B and C,B. will call and verify whether the Girl is Authentic or Fraud,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,Checked the source of the call or email and will verify the authenticity,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,,Female,Uttar Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",No,Yes,#Sohan@27!,Competitive exam preparation ,Not more than 2 hours in day,In the Night before Sleep,I switch ON internet only when it is required,Not happened ,No,
56,Yes,"Spreading the virus, Spreading rumours on social networking sites",All of the above,Using Internet all the time,2 -4 Hours in a day,37 Years and Above,PG,Yes,I have good knowledge,Yes,No,Fraud Call,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,He  clicked on the link directly without verifying the authenticity of the message.,2. Reputed Comany Never Ask for Job Processing Fee Payment,c. Clicked on the Link,No,Duplicate the person’s social media profile,C. Report the fraudulent account to social media and also file a cyber complaint,Both B and C,Both a and b,All of the above,Don’t accept friend requests from unknown while looking only smart picture,D. Only A and B,D. B & C both,B. You will immediately call 1930 cyber crime help line number to file complaint,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,"Do not easily trust Sales Offered on Social Media , must verify the source",Excellent,Very Good,Excellent,Very Good,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,This is very good program,Male,Rajasthan,News Paper,File a cyber complaint on www.cybercrime.gov.in,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",No,Yes,#Sohan@27!,Government teacher,Not more than 2 hours in day,In the Night before Sleep,"I always keep my Internet ON (24*7 , Even During Sleeping Time)",During Eating,Yes,
96,No,All of the above,All of the above,All of the above,2 -4 Hours in a day,37 Years and Above,MPhil/PhD,No,I have little knowledge,No,No,Fraud Call,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,समाज में जागरूकता पैदा करना बहुत जरूरी है।,Female,Uttar Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,RSM PG COLLEGE DHAMPUR ,Not more than 2 hours in day,"Can't say, Smartphone usage  depends upon my requirements","I always keep my Internet ON (24*7 , Even During Sleeping Time)",Not Applicable,No,
